mean,std,median,D,xmin,alpha
4.224813909881243,4.746090191946903,2.0,0.01299261920486755,15.0,6.734736147533222
4.201005738962441,4.709315115275132,2.0,0.01271643712944559,16.0,6.7852532693145085
4.16907210636968,4.71174563828655,2.0,0.012570908495123656,15.0,6.769715536074462
4.21918859026081,4.769301253420832,2.0,0.017770229507744484,16.0,6.416228866624278
4.225296891868856,4.760910699349796,2.0,0.01515322098500227,15.0,6.795937119662383
4.1879652252968915,4.711117205249,2.0,0.011186370060567996,15.0,6.810540220642852
4.216461162566055,4.7516771538929685,2.0,0.0094126616584993,15.0,6.779272615961255
4.240638672651855,4.781912903613618,2.0,0.011673525889460912,15.0,6.568472218703675
4.2075402011477925,4.734021392428306,2.0,0.01897275521140812,15.0,6.6098959494814356
4.205267344735496,4.738421440462736,2.0,0.00812947919410012,15.0,6.599724319518669
4.193732598443093,4.713672011296684,2.0,0.006547429835497054,15.0,6.761311770426876
4.223847945906018,4.7734138042274505,2.0,0.007104969034887332,16.0,6.715918831374367
4.259219273822376,4.820367993428406,2.0,0.014079434357267606,16.0,6.548194779292777
4.225382123984318,4.758456376381552,2.0,0.017070388013255777,20.0,6.62752978765124
4.206716290698335,4.72064644695197,2.0,0.012502155782461943,19.0,6.593581245917743
4.204386612875732,4.732408916232186,2.0,0.009706704707452718,16.0,6.553250701862159
4.271322234217854,4.835491527555787,2.0,0.009118762683522907,15.0,6.499842035547351
4.2731973407579975,4.870348523792043,2.0,0.011092688727043387,15.0,6.537593789589926
4.220353429172112,4.7680947460531495,2.0,0.014979843262402093,15.0,6.716796125401363
4.236263424058185,4.752303275716504,2.0,0.015598027258701963,15.0,6.764439364912763
4.226291266549236,4.774262726372405,2.0,0.013051622340256697,15.0,6.681067432543141
4.2544178646514,4.797995348263034,2.0,0.006651168201678881,17.0,6.868841412587849
4.2067731121086425,4.742638106373421,2.0,0.011858561678605772,15.0,6.487706735121673
4.250667651571112,4.784067823611103,2.0,0.01207619838291929,15.0,6.626052062489272
4.205466219671572,4.744359947617348,2.0,0.011515101195250677,17.0,6.566618888940006
4.226433320075004,4.730738717470284,2.0,0.009114614914316976,17.0,6.6599021867830706
4.240667083357009,4.787145852874809,2.0,0.009288076469678774,16.0,6.6733822581152396
4.233791692709813,4.7708771191185635,2.0,0.006157766399543796,16.0,6.65195491325944
4.173873515540656,4.701825408361825,2.0,0.011358186683678717,15.0,6.6905162798738305
4.225524177510086,4.761866576301496,2.0,0.013785685312552087,15.0,6.677410444570661
4.204216148644809,4.751187775818009,2.0,0.01214245679499848,16.0,6.629859665699064
4.151031308597079,4.708887465129757,2.0,0.009333506887758913,15.0,6.739552960352014
4.230325586681062,4.804395226389769,2.0,0.011001268312704648,15.0,6.526586929283296
4.24612193874652,4.75691512828631,2.0,0.011185119921116815,19.0,7.065134943510105
4.232143871810898,4.743354056535206,2.0,0.014576383126007175,15.0,6.807224235426929
4.217228251605205,4.762693682802435,2.0,0.013035860656959053,17.0,6.466813596070764
4.241831922268311,4.8017031761244136,2.0,0.012089009317099997,15.0,6.7369206175981855
4.19807943633161,4.739341849002958,2.0,0.015391317517286507,15.0,6.7800697142691195
4.1756349792601855,4.676063186385518,2.0,0.018698699553092668,15.0,6.854900586525185
4.221120518211262,4.766786914307469,2.0,0.008989547885100313,15.0,6.6782214664025465
4.202085345758282,4.714653242232023,2.0,0.005770066255127104,15.0,6.609895447846676
4.223279731802943,4.754398242420379,2.0,0.012906368031991744,15.0,6.700998390714902
4.224700267060628,4.769640449236784,2.0,0.014758015025556404,18.0,6.391555033943793
4.257457810102847,4.790001439885306,2.0,0.010987239492857237,17.0,6.573077989299392
4.203193363259276,4.721659922184324,2.0,0.01825756202331008,20.0,7.135027433645023
4.212085913972385,4.7272014818491765,2.0,0.012239671387218154,15.0,6.925637916384348
4.269674413318938,4.811162875180111,2.0,0.0069647050519809905,15.0,6.520542068389712
4.220097732825729,4.787999181002014,2.0,0.007653747929150745,15.0,6.522846607332697
4.260923916131598,4.822550569808388,2.0,0.00965560026854484,17.0,6.598358151518587
4.26001477356668,4.821662887599759,2.0,0.013207677867780876,15.0,6.464735726237044
4.21657480538667,4.782377073099036,2.0,0.010108535753254766,15.0,6.5634957805114755
4.252145008239104,4.778089413859907,2.0,0.011307890214661054,15.0,6.684160184221545
4.261747826581056,4.8208177760205455,2.0,0.014708273260081284,15.0,6.641319668205172
4.261691005170748,4.767056737423999,2.0,0.007647758287241735,15.0,6.764798002124616
4.229956247514063,4.773281171361888,2.0,0.01100771242088916,15.0,6.568649071438831
4.267259503380874,4.807797642679622,2.0,0.010707066388788822,15.0,6.6640254037185205
4.252343883175181,4.774548628889083,2.0,0.00662080508352636,16.0,6.602033626767664
4.271180180692085,4.835925447077514,2.0,0.012209680999649086,15.0,6.665629566897893
4.2325132109778965,4.741823350092924,2.0,0.011703857612745505,17.0,6.690378990890831
4.286124211602932,4.820275339804164,2.0,0.007552418597331911,15.0,6.4123397144713215
4.264276379339735,4.756314421894205,2.0,0.008428516908876804,15.0,6.871143028054772
4.250866526507188,4.795158648858635,2.0,0.009363873996233618,15.0,6.668054404118452
4.210040343201318,4.751337497576174,2.0,0.010672128249273383,16.0,6.51745757055829
4.239899994317859,4.7823243020625155,2.0,0.007006157368035337,15.0,6.567060613567484
