mean,std,median,D,xmin,alpha
3.402835388,9.772317397,1,0.004291331,9,2.653960753
3.520001136,14.8925479,1,0.01111443,7,2.583287047
3.440138644,10.48139191,1,0.007196258,7,2.594956578
3.548809591,13.18362369,1,0.010107416,7,2.608073351
3.546906074,12.003042,1,0.010977724,7,2.573754127
3.542331951,13.58459554,1,0.009845798,7,2.58400031
3.545258253,11.47218304,1,0.010378734,7,2.548829521
3.666685607,17.06976686,1,0.006904845,8,2.528664639
3.54835502,11.33741828,1,0.009246218,11,2.537865317
3.505000284,13.30372107,1,0.00788186,7,2.614972908
3.593528041,15.71617183,1,0.00747668,7,2.54095821
3.517586226,18.02115245,1,0.007637943,7,2.602573667
3.387891357,9.339401456,1,0.009580758,7,2.619538416
3.433945111,9.364013702,1,0.007168196,7,2.612124477
3.600943235,18.45277746,1,0.007545654,7,2.580493339
3.502102392,18.43821168,1,0.010256759,7,2.594348924
3.435109949,9.441635277,1.5,0.008601338,8,2.57567415
3.598926075,21.93261576,1,0.00785772,7,2.622480035
3.602363771,17.98124128,1,0.010060732,7,2.584732757
3.529660776,13.77705205,1,0.007799967,14,2.537460209
3.55721916,17.07925016,1,0.007830987,11,2.585821797
3.674754247,20.96519956,1,0.013133471,7,2.581720493
3.462412637,11.27561232,1,0.00767302,10,2.632287041
3.520626172,11.75237254,1,0.009562511,7,2.598698563
3.428802773,9.003262031,1,0.00608113,7,2.584212654
3.531706347,19.93314164,1,0.005732089,7,2.594666226
3.589948293,13.48906189,1,0.009871685,7,2.573245336
3.47261208,12.0275163,1,0.005930946,7,2.602407959
3.541195522,10.25608486,1,0.005446836,7,2.570529491
3.460452298,14.49985398,1,0.00743218,7,2.614907059
3.616995284,19.73569009,1,0.010956555,12,2.537515801
3.451531337,10.80263305,1,0.007415078,9,2.597990056
3.477470311,9.664362301,1,0.007223785,8,2.586660927
3.521648957,12.2559974,1,0.006801202,7,2.593459635
3.589294846,15.26364405,1,0.00915563,9,2.525070776
3.509119836,11.56286667,1,0.006478673,8,2.539009831
3.387039036,8.786874874,1,0.007747905,9,2.59600205
3.36987897,8.560961418,1,0.0081317,7,2.608882268
3.488266379,11.99912001,1,0.008593584,8,2.616073453
3.437922609,10.44172127,1,0.009365732,7,2.576836043
3.431388147,11.68747751,1,0.007968819,8,2.622532957
3.613472356,17.99102179,1,0.006927632,8,2.587281486
3.590686971,18.10926426,1,0.009133172,7,2.583189407
3.437325984,9.299563475,1,0.008945368,7,2.614666672
3.609466447,14.72097408,1,0.008725608,8,2.560219225
3.479373828,12.26286579,1,0.010414178,7,2.590493651
3.488465254,13.82353169,1,0.009431217,7,2.565251309
3.651514291,16.38464704,1,0.007665789,7,2.542476348
3.578129439,16.60805211,1,0.006316157,7,2.546618304
3.508295926,12.25787732,2,0.012023782,13,2.574332014
3.639354509,18.68234006,1,0.008041351,7,2.56824763
3.61037559,15.47793501,1,0.007728963,7,2.608471027
3.486448094,14.48884454,1,0.009167437,7,2.592927101
3.434030343,12.09063392,1,0.010444287,12,2.600439995
3.473720098,12.82914425,1,0.00709761,7,2.580700573
3.445792375,14.58584655,1,0.011297659,7,2.622050591
3.54349679,16.33841054,1,0.007094405,8,2.554270048
3.520569351,12.05538741,1,0.010854929,8,2.553585205
3.54997443,12.04061256,1,0.006270553,9,2.608428321
3.578669243,16.9885731,1,0.011981209,7,2.589742909
3.507614069,13.83818257,1,0.00644918,7,2.568188241
3.497329394,10.14258993,1,0.005980426,7,2.56616011
3.694329223,19.60712067,1,0.010523216,8,2.516112953
3.442496733,9.196198346,1,0.007122522,7,2.591932674
3.688419797,18.86600309,1,0.009740146,7,2.57279792
3.507301551,11.3226769,1,0.009572015,7,2.568438176
3.484402523,14.95391042,1,0.007120989,8,2.617338434
3.557645321,18.19493299,1,0.007202055,8,2.579567015
3.469572135,10.26278521,1,0.012191437,10,2.580848812
3.392181374,10.21875389,1,0.006391817,8,2.647309504
3.497130519,15.49240763,1,0.008954165,7,2.636053484
3.556167964,16.6301868,1,0.008282626,7,2.558304699
3.632052958,18.0286103,1,0.006119261,10,2.571560856
3.563412694,12.4424717,1,0.008798426,11,2.585980927
3.512330246,12.2382129,1,0.006883323,7,2.581454405
3.353173476,9.450975993,1,0.004496615,7,2.652853581
3.70185806,18.42893025,1,0.008141201,12,2.532345901
3.559605659,15.21221779,1,0.007398575,7,2.560157859
3.508324337,15.13952296,1,0.011590695,8,2.59205819
3.484203648,17.08759077,1,0.006801314,7,2.574199113
3.509318711,10.45698323,1,0.010417287,8,2.577240693
3.547303824,12.69066949,2,0.005909004,7,2.562394091
3.495937269,11.17230311,1,0.005432427,7,2.559188902
3.482186488,9.414244507,1,0.008080006,7,2.566900774
3.449968748,14.14136155,1,0.012378575,8,2.598843048
3.47261208,12.02954285,1,0.008131836,9,2.599488496
3.481845559,14.04779846,1,0.006249302,7,2.57755534
3.539292005,15.05203124,1,0.006990611,7,2.580603134
3.58662424,17.51839388,1,0.007040815,7,2.563567799
3.468037957,10.21682868,1,0.006777466,10,2.614678007
3.594891755,19.25922919,1,0.00725083,10,2.551080742
3.456844139,10.6955794,1,0.007914833,11,2.639092177
3.574691744,16.35513031,1,0.007984284,8,2.597427793
3.431302915,11.86343081,1,0.008878536,7,2.592923269
3.602392181,17.57220659,2,0.008649729,10,2.613041049
3.499545429,10.61781972,1,0.011542208,7,2.602473215
3.422041025,9.050786967,1,0.010466525,7,2.55955588
3.530257401,17.81319727,1,0.008218234,10,2.628106526
3.49034036,15.01448456,1,0.009333178,7,2.591403656
3.580743224,15.62670392,2,0.010110821,7,2.594638229
3.65671345,21.58460551,1,0.00905224,9,2.533160044
3.762884255,25.11152862,1,0.009923508,7,2.540749272
3.496590715,12.34027457,1,0.009084658,7,2.578246976
3.531450651,18.0241177,1,0.007977331,7,2.609893032
3.808085687,25.81880032,1,0.010158221,12,2.51625025
3.46292403,10.26518258,1,0.005662613,7,2.566931524
3.513779192,11.26655434,1,0.005873125,8,2.60505398
3.646059435,17.91840625,1,0.011861378,8,2.558547082
3.671600659,17.02211507,1,0.018186811,7,2.560216954
3.682368316,17.90303897,2,0.007817476,7,2.576128229
3.425137792,9.44364355,1,0.008809928,7,2.591623795
3.475339508,14.43403567,1,0.005874224,9,2.567863545
3.523410421,18.20153028,1,0.010033503,7,2.601126083
3.472697312,11.06027381,1,0.007440215,7,2.615005908
3.396187283,9.048995325,1,0.009362535,7,2.606137748
