mean,std,median,D,xmin,mu,sigma
3.262031934,6.093044026,1,0.011685158,10,1.961869414,0.928087185
3.248281152,5.863925835,1,0.017290859,10,1.515316667,1.049022103
3.314392863,6.547511386,1,0.013212721,11,1.590772426,1.061706315
3.313881471,6.690414108,1,0.013116981,22,1.507899485,1.119041213
3.341070515,6.378483492,1,0.011866375,10,1.87449678,0.971847143
3.296153191,6.213415911,1,0.01274088,13,1.840459327,0.986648516
3.314165578,6.383500249,1,0.014555479,20,1.814807667,1.00498323
3.328825501,7.209960244,1,0.016996422,19,0.358325393,1.356982053
3.343201318,6.666348259,1,0.01004215,23,0.671579952,1.267938149
3.253110972,6.135096764,1,0.011112744,11,1.584335387,1.041587601
3.331837036,6.665338166,1,0.019779236,10,1.154067146,1.190940821
3.296835047,6.336306291,1,0.010808401,11,1.81958213,1.000298501
3.303511563,6.144264902,1,0.010481694,11,1.816401428,0.97435912
3.277146429,6.154671167,1,0.012485087,14,2.180315495,0.899486709
3.276606625,6.070328019,1,0.010530726,10,1.709919621,1.02603264
3.335530428,6.205423764,1,0.010371498,10,1.837080779,0.993045884
3.302460367,6.209699908,1,0.010369937,10,1.853698133,0.959592997
3.333285982,6.032647937,1,0.014878906,12,1.903795956,0.947805659
3.288283425,6.259202642,1,0.012005453,10,1.735090129,1.016395236
3.298426047,6.272206038,1,0.012838754,11,1.425134353,1.097382968
3.318143076,6.22105305,1,0.011846,10,1.664374663,1.036954596
3.264446844,6.102256019,1,0.010700728,11,1.56981389,1.055379852
3.273453037,6.052869082,1,0.011433925,15,2.085830744,0.917159215
3.26913461,6.12705107,1,0.01394112,15,2.00545514,0.931169677
3.208136826,5.855130216,1,0.01216223,11,1.497535371,1.041282878
3.24776976,6.198645944,1,0.017734296,10,1.322358133,1.121040829
3.270271038,6.000984614,1,0.012493977,10,1.667994581,1.020381403
3.267856128,6.16006324,2,0.012124968,10,1.410995852,1.092473559
