mean,std,median,D,xmin,lambda
4.150145772594752,6.521944900478139,2.0,0.028850532325469913,20.0,0.0775395310796074
4.183897734918143,6.639538575494903,2.0,0.02547871427639077,36.0,0.07471313912009514
4.131643866337744,6.380453531923436,2.0,0.0294043432736861,21.0,0.07875688494492045
4.12368244000897,6.53194899962084,2.0,0.02938475210671234,21.0,0.07043465487382487
3.9863198026463333,6.316699097453422,2.0,0.03644004297424741,20.0,0.07884887005649721
4.1697690065037,6.665988908806694,2.0,0.03955343994353022,20.0,0.0706555804064502
4.014465126710025,6.276744831379745,2.0,0.04403177893690913,26.0,0.07817335589941984
4.110002242655304,6.412968049670526,2.0,0.040403452813505325,20.0,0.07738428165437199
4.173245122224714,6.914799923519211,2.0,0.032207451533636355,21.0,0.06342059336823727
4.093630858936981,6.3971569626547975,2.0,0.05066840829168667,18.0,0.07854780517137695
4.014801525005606,6.271552176010568,2.0,0.03175317126898547,19.0,0.07943486752717391
4.130298273155416,6.524717897565498,2.0,0.04503249413320087,19.0,0.0746310131195336
4.108095985647006,6.4761867816621175,2.0,0.03147030635254455,26.0,0.07192738772685335
4.044740973312402,6.267895647675638,2.0,0.041999213339884434,20.0,0.0791360751617719
4.091500336398296,6.172006845813241,2.0,0.029146502542317064,31.0,0.09432833650592239
4.122000448531061,6.503499010887538,2.0,0.03324460558048403,24.0,0.07593408262454457
4.166405023547881,6.793324287240684,2.0,0.03323632267556381,20.0,0.07222316843098225
4.189952904238618,6.6040095653409026,2.0,0.03803914470704495,30.0,0.07689224064985611
4.081856918591613,6.544602987424015,2.0,0.04519910675354366,20.0,0.07190237485779298
4.200717649697242,6.3769488040308895,2.0,0.019637126467702395,20.0,0.07880808440018981
4.220453016371383,6.7445175077874895,2.0,0.036292695577930134,20.0,0.0717728055077453
4.050123346041714,6.420862243623862,2.0,0.02063296562232142,21.0,0.07207003603139875
4.055729984301413,6.5392127377213525,2.0,0.030435590188573447,28.0,0.06497108080110495
4.029715182776407,6.046792991385128,2.0,0.022802164578168638,24.0,0.08176362978449692
4.147006055169321,6.572164615301448,2.0,0.03616060245258179,26.0,0.07545327240566063
4.0371159452792105,6.275544029155166,2.0,0.03723708637944545,21.0,0.07347422993785457
4.141063018614039,6.520591555386693,2.0,0.03712231822732026,24.0,0.0674218284138341
