mean,std,median,D,xmin,KL1,KL2,mu,sigma
4.1999829535769075,4.647502135012108,2.0,0.01468139178201866,0.006553777350371317,-0.0010856677082706385,21.0,2.7954352107162608,0.12030937987954704
4.186061708051594,4.624973165240114,2.0,0.01793548077521878,0.013630467685712157,0.0035757092600876656,21.0,2.539323179738792,0.17585558002974172
4.169555088357293,4.602298269526618,2.0,0.025159164835169334,0.00198971852756868,-0.0007582601201717503,20.0,2.85947137761859,0.11971211967989706
4.176885050286948,4.63700443718669,2.0,0.017954081381362785,0.01883622173293986,0.001165584656468011,22.0,2.7760231186027795,0.12021453558556962
4.210580146599239,4.6353451646603085,2.0,0.02915121625946504,0.009308873568715766,0.004273910775190133,20.0,2.851977494565319,0.11457774324334825
4.225808284561623,4.656241647115317,2.0,0.01999427675444454,0.006431050467060117,-0.0010752469967296439,20.0,2.8329977545325926,0.12278456395931073
4.185663958179442,4.6467451662016765,2.0,0.015898423119738547,0.007053808783730679,0.0014370518449219553,21.0,2.5973804096036375,0.15998603789058435
4.1955224728677765,4.632632942573376,2.0,0.014948624994592485,0.017306802063634545,0.01886783001313662,22.0,-38.36712421539314,1.104254841398507
4.170009659639752,4.622067218811525,2.0,0.04171273129676101,0.0060395105135033714,-0.002871060626281577,20.0,2.9391935058140297,0.08792260875740104
4.196346383317234,4.64730874313663,2.0,0.034093948348125624,0.00316933618471937,-0.0007853218705038129,20.0,2.9051152373187934,0.10156450487264666
4.2362066026478775,4.661440095081284,2.0,0.034200885204176634,0.021612307959409757,0.014749841271104345,21.0,2.9466666539334505,0.09283726124682046
4.194812205238934,4.647544476436399,2.0,0.031015544132111383,0.030382961916249562,0.028112401603988667,22.0,-53.575885967927434,1.508890838026133
4.2126257173703054,4.6484843752645695,2.0,0.024637832582646402,0.008147425257304162,0.0035370512971030677,21.0,2.8505664684682657,0.11941377884376483
4.15057673731462,4.595032433664732,2.0,0.013764375187394706,0.011354131748702662,0.0003324362493910705,23.0,2.5833732104714757,0.12093675853909762
4.1879652252968915,4.649406291604132,2.0,0.022184392498029615,0.004129834622588092,-0.0009708321342171405,21.0,2.839871704997008,0.10869765711020088
4.191544974146258,4.6392031551402155,2.0,0.023808682381433854,0.009510773240342869,0.00619264062109362,22.0,2.92270249321672,0.09631807554916069
4.1944428660719355,4.64034401463304,2.0,0.029851645993653753,0.011028693144485546,0.009023679920870135,21.0,2.8700484579438457,0.10864948401988148
4.197766918574919,4.633252093101625,2.0,0.014374503059311539,0.00851382520383448,-0.0006774709853772359,23.0,2.8979722898094744,0.09882140940111916
4.17705551451787,4.604860943025976,2.0,0.0075730776820238654,0.003278059746330748,-0.0009119468214780892,21.0,2.265313250224408,0.19577469629562771
4.179271549519859,4.636306165841119,2.0,0.05374700288037093,0.07903464367704444,0.021191694635493738,2.0,1.2848063641051042,0.9679130118470328
4.181061423944542,4.619701445329537,2.0,0.026352757520307968,0.007161042282296016,0.0018506753078889214,21.0,2.873946851703897,0.10326156897707146
