mean,std,median,D,xmin,mu,sigma
2.241957104557641,2.0006120855024947,2.0,0.035156095613023464,6.0,1.8826552494349909,0.38307519410135016
2.36058981233244,2.066910680063369,2.0,0.04363042802270856,1.0,0.3972086360842853,0.8481494951825173
2.4705093833780163,2.1715474296427635,2.0,0.03192562815654176,1.0,0.451146482570071,0.8521239381039183
2.3806970509383376,2.126962754656601,2.0,0.03791773418602673,1.0,0.3943713261245556,0.8561503286950785
2.3659517426273458,2.0302983755226167,2.0,0.030790411957261173,1.0,0.41123889422279664,0.8405909073000115
2.341152815013405,1.9657511947063375,2.0,0.030693052106524957,1.0,0.4378079915707068,0.8111195108126199
2.2399463806970505,1.855016240310758,2.0,0.029635725412612838,1.0,0.3650180810219641,0.8240154798072529
2.2600536193029495,1.8877869072839333,2.0,0.029728179630487125,4.0,1.382772348949331,0.5416860987889462
2.2955764075067018,1.925671569824962,2.0,0.03749683062803444,1.0,0.4373728378294051,0.7880629517504184
2.3498659517426272,2.010256871597723,2.0,0.0271885059333683,1.0,0.3972650982624763,0.8458921325093267
2.3947721179624666,2.0921273378873786,2.0,0.034477479891186665,1.0,0.4106923485637299,0.851778964571874
2.3766756032171585,2.0572093058341667,2.0,0.03239970421368732,1.0,0.42686570952674296,0.8329188208696765
2.361260053619303,2.098493144923044,2.0,0.04439859111196165,1.0,0.3165624257768345,0.9070159212098808
2.302278820375335,2.0696116529699635,2.0,0.026287399785141496,5.0,1.6292201164811768,0.4801700119983321
2.3404825737265416,2.0195151869146466,2.0,0.02881631009841457,5.0,1.5869285689999135,0.49746677072878204
2.321045576407507,2.0192138678296048,2.0,0.028273747147207432,1.0,0.3943613599114709,0.8337731362198435
2.227882037533512,1.8263267070205556,2.0,0.03795840120596705,4.0,1.5125891053172742,0.511049168005512
2.4061662198391423,2.0603923581254864,2.0,0.02690846755639187,9.0,1.6896588147103444,0.4486660153088498
2.2989276139410193,2.0138059488406514,2.0,0.02685167065171612,8.0,1.9107314319374584,0.3324232187197853
2.396782841823056,2.0732408088550263,2.0,0.015059774173553975,7.0,1.707706751294294,0.4071610790757057
2.373994638069705,2.0765044276478086,2.0,0.026841113551409057,4.0,1.4647863005719302,0.5494299613357749
2.4054959785522794,2.0801105438530683,2.0,0.03532069961587148,1.0,0.43971233653837977,0.8337904858504624
2.381367292225201,2.031587357751118,2.0,0.03251930577238093,9.0,0.1968222317992236,0.6434340844650753
2.39142091152815,2.1123615153090998,2.0,0.03760818027844776,5.0,1.704709321865011,0.4472411541962407
2.3626005361930296,2.0657479073779,2.0,0.04160407649119713,1.0,0.4391762268811813,0.8144636206963366
2.3545576407506696,1.953452811671737,2.0,0.029687654629455162,9.0,1.299683793573218,0.4269045434535889
2.3639410187667558,2.0304947340867257,2.0,0.04618880166268713,1.0,0.4483645160777613,0.8093199945527902
2.35857908847185,2.015216941545749,2.0,0.04190416155984267,1.0,0.4472875253247186,0.8079042239754122
2.410857908847185,2.063201152552968,2.0,0.03733042439209877,1.0,0.4259708871731962,0.8498570669930652
