mean,std,median,D,xmin,mu,sigma
4.195834991,4.626479856,2,0.019957093,21,2.795850861,0.117088034
4.214955395,4.654430242,2,0.028444878,21,2.919928536,0.098658292
4.248536849,4.675144363,2,0.034773577,20,2.90595544,0.100539575
4.177936246,4.605076864,2,0.023660552,21,2.847641837,0.111189024
4.231689301,4.680227336,2,0.031524814,20,2.887257171,0.108347483
4.21194386,4.649157207,2,0.011579128,21,1.872210194,0.239806239
4.220978465,4.657425074,2,0.025405363,22,-23.21462117,1.006658321
4.159071538,4.613274211,2,0.028916924,23,-0.099573067,0.337600611
4.163219501,4.628531056,2,0.010273146,20,2.610268166,0.16724316
4.161685323,4.623880729,2,0.008606838,21,2.518169673,0.165395128
4.2115177,4.646661294,2,0.045768877,20,2.938376511,0.087307276
4.147167453,4.621363394,2,0.036415289,23,3.041742013,0.059502022
4.186317404,4.614874434,2,0.025991427,22,2.947558504,0.081070285
4.15671345,4.608342368,2,0.031269965,20,2.825502688,0.125388209
4.202767203,4.620699943,2,0.043188437,19,2.913851043,0.102576138
4.213392806,4.633000255,2,0.020230856,21,2.785697101,0.12342744
4.234644014,4.662844428,2,0.028247131,22,2.971281967,0.081434362
4.20387522,4.669359131,2,0.037068695,20,2.917115412,0.094465365
4.210892664,4.667145529,2,0.021947683,21,2.872936753,0.102939542
4.163276323,4.622767861,2,0.022362709,23,2.976154541,0.074010609
4.166941303,4.624194706,2,0.013551315,20,2.446768971,0.202071759
4.177396443,4.614006944,2,0.035531942,22,2.831413932,0.105248819
4.205835559,4.679286783,2,0.019107714,20,2.826593204,0.124528127
4.177595318,4.614864341,2,0.042039958,22,3.009217719,0.072207946
4.175407694,4.62424994,2,0.032710919,21,2.902951734,0.097971147
4.170236945,4.636272903,2,0.025722041,20,2.84782676,0.1257688
4.204528666,4.646264915,2,0.027203469,22,-46.4030816,1.317143655
4.214557645,4.660066978,2,0.017357861,20,2.725568223,0.148593579
4.238848798,4.678738112,2,0.036414149,21,2.849080496,0.109443577
4.218336269,4.684606613,2,0.017682373,20,2.778224869,0.136852738
4.165662822,4.619166141,2,0.031382995,23,3.025861904,0.062332016
4.199187454,4.63741426,2,0.018695947,21,2.822941337,0.113689739
4.207653844,4.654551132,2,0.011618647,22,2.381159963,0.182493932
4.191005171,4.624040551,2,0.032452476,20,2.891963791,0.104477842
4.207170862,4.651345663,2,0.033558574,21,2.765770546,0.139309961
4.213790556,4.656671641,2,0.024373989,20,2.817838553,0.129374783
4.178674925,4.600962261,2,0.021503912,23,2.975518234,0.088359655
4.197454401,4.628274436,2,0.025522853,21,2.890837438,0.10247659
4.183362691,4.633228279,2,0.02358626,21,2.825813373,0.11542394
4.179981817,4.628148973,2,0.021385366,21,2.769197718,0.125786907
4.192312063,4.623636149,2,0.032424118,21,2.630351496,0.151701056
4.216461163,4.654845708,2,0.022216934,20,2.787250617,0.128719947
4.18776635,4.624603257,2,0.023887421,21,2.663834526,0.140869443
4.185521905,4.63247388,2,0.026505734,20,2.825036076,0.118167923
4.193192795,4.638271242,2,0.006735855,20,2.483433261,0.192013248
4.209216433,4.635210782,2,0.047228778,21,2.952739512,0.086766088
4.241405762,4.694374806,2,0.025004811,20,2.806565876,0.12556856
4.217853287,4.647624949,2,0.024359381,21,2.903083036,0.10184027
4.203335417,4.646194993,2,0.017212283,23,0.812952353,0.298306481
4.218023751,4.636600568,2,0.035364405,19,2.866705444,0.111624331
4.179924996,4.630121277,2,0.018527926,21,2.420000937,0.176290824
4.175947497,4.616595506,2,0.027433762,22,2.934225745,0.094840177
4.216063413,4.6522695,2,0.038830308,21,2.927197051,0.089473511
4.189584635,4.636732356,2,0.023385939,21,2.860496142,0.110285352
4.186516279,4.640862221,2,0.03773495,21,2.940466328,0.086474239
4.181118245,4.636237456,2,0.032294569,21,2.943512216,0.083848497
4.168844821,4.610524241,2,0.02085499,24,-28.71605507,0.848785234
4.178731746,4.624285469,2,0.015005887,21,2.692429824,0.14834816
4.178333996,4.635242248,2,0.010559814,20,2.654159087,0.164113803
4.227910677,4.651059768,2,0.021050058,23,-37.90075621,1.092782577
4.154554236,4.604048427,2,0.027158132,20,2.865143386,0.104356771
4.157707824,4.623139401,2,0.037440927,22,3.007684381,0.063982049
4.236717995,4.656895666,2,0.043344424,21,2.966439366,0.086467739
4.228876641,4.656396913,2,0.029791949,21,2.924091922,0.089392646
4.169043696,4.623245794,2,0.017600651,21,2.79941587,0.120994463
4.21717143,4.643027082,2,0.010024374,21,-0.499725314,0.419132772
4.169157338,4.61500589,2,0.02891559,20,2.834612412,0.116526694
4.219927269,4.662720946,2,0.015666634,20,2.731751214,0.146833822
4.202454685,4.641201321,2,0.01892849,22,2.803436923,0.124182098
4.131768851,4.606120215,2,0.030741226,23,2.874880629,0.09427172
4.195295187,4.651529606,2,0.024910202,21,2.896211912,0.10255377
4.210523325,4.641797245,2,0.015856777,22,-56.39721965,1.584820242
4.193278027,4.63239902,2,0.010569304,20,2.369624642,0.208027391
4.215694074,4.668280405,2,0.027856414,20,2.768869888,0.13886633
4.147366328,4.583780177,2,0.01761457,22,2.833120036,0.115008803
4.201005739,4.633149505,2,0.04333211,19,2.874802907,0.113108921
4.204557077,4.661741812,2,0.035412344,19,2.875267818,0.108618023
4.192709813,4.650382137,2,0.038806403,21,2.848356148,0.114127321
4.196914597,4.65030374,2,0.007707526,22,2.281446038,0.195196733
4.18370362,4.626636639,2,0.025248229,23,2.982727451,0.085000034
4.170975624,4.593595068,2,0.026606019,22,2.549903837,0.142662161
4.202909256,4.637715441,2,0.018877544,23,2.832753761,0.123417927
4.225126428,4.676439485,2,0.016352132,21,2.78468454,0.119232415
4.173845105,4.619781843,2,0.019785598,20,2.656887889,0.156591322
4.196488437,4.640723147,2,0.032195738,22,2.055644999,0.191532953
4.176998693,4.61783212,2,0.028028503,21,2.811229897,0.119742116
4.183192227,4.64327439,2,0.0141186,23,2.507902083,0.189106212
4.182709245,4.615138737,2,0.027191415,21,2.805236623,0.12076675
4.191658617,4.635988346,2,0.034895763,21,2.928609542,0.09453336
4.24740042,4.662596321,2,0.031961537,22,2.826838259,0.105560756
4.190436957,4.644717331,2,0.018190408,21,2.740925174,0.132372358
4.175379283,4.635716587,2,0.025868737,20,2.734350579,0.141282982
4.208222058,4.60981981,2,0.012079379,21,2.592968565,0.174087665
4.206631059,4.644465531,2,0.02170011,22,2.877025869,0.109407875
4.199784079,4.64291442,2,0.007830302,21,2.620820711,0.155150855
4.2107222,4.657439848,2,0.037823633,19,2.844423871,0.115016087
4.204386613,4.649324472,2,0.022962594,21,2.721558008,0.134521554
4.178646514,4.597154933,2,0.014547694,21,2.715197691,0.143752417
4.183447923,4.633663319,2,0.044434451,20,2.949400089,0.084835205
4.176515711,4.618825654,2,0.009453446,21,2.161111878,0.219673343
4.204301381,4.653802162,2,0.009565781,22,2.611417118,0.157067095
4.205523041,4.663990293,2,0.024470944,20,2.863906205,0.11561649
4.207795897,4.624763377,2,0.037257388,20,2.89047882,0.104856159
4.209415308,4.640822059,2,0.029838727,20,2.845580766,0.116873894
4.177595318,4.651222101,2,0.037037474,22,3.004023586,0.074123505
4.197653276,4.622894694,2,0.015040548,22,-35.06776256,1.23436209
4.193221206,4.637250087,2,0.016344333,21,2.654049593,0.160917263
4.178618103,4.62355869,2,0.029646223,22,-36.63173408,1.338375814
4.171714302,4.629233377,2,0.033128607,20,2.899784723,0.106587512
4.191573385,4.61444067,2,0.027093484,21,2.867202771,0.109019608
4.217654412,4.67521045,2,0.024903629,23,3.008530528,0.068674963
4.181828513,4.631810725,2,0.011169751,22,2.744938928,0.130111002
4.152139326,4.62806757,2,0.029045787,19,2.798944368,0.135364648
4.182652423,4.612486997,2,0.029719485,21,2.879659947,0.111535503
4.213080289,4.665673228,2,0.027793288,19,2.84354652,0.120215397
4.203136542,4.648401451,2,0.028323522,22,2.917464831,0.099040182
4.181998977,4.640873222,2,0.041536728,19,2.907933764,0.100963972
4.192113188,4.648949527,2,0.021734599,20,2.857416187,0.122650419
4.168276607,4.623067911,2,0.012057935,23,2.766923296,0.139573698
4.193817831,4.62583706,2,0.016324711,21,2.734950401,0.130578298
4.171430195,4.626063733,2,0.024320553,21,2.599568502,0.160072393
4.204500256,4.659622959,2,0.030679418,23,3.005846838,0.071309391
4.202568328,4.636523367,2,0.029354529,20,2.54430252,0.170024869
4.226887891,4.660848539,2,0.026108619,21,2.900226812,0.101896451
4.191402921,4.641257058,2,0.027812312,22,2.934260367,0.086076026
4.2332803,4.643833478,2,0.041547461,21,2.957328954,0.079592726
4.208648219,4.626358811,2,0.036458539,19,2.848310341,0.117017558
4.196573669,4.663605478,2,0.024717132,21,1.923008694,0.23014599
4.178163532,4.634439668,2,0.03013039,22,-0.483170256,0.368875445
4.227910677,4.645791312,2,0.008061038,21,2.281696558,0.198509515
