mean,std,median,D,xmin,alpha,lambda
4.679449770737808,7.0471968380156635,2.0,0.01244595429032802,11.0,1.2154155505949595,0.06285216137548119
4.398916215089621,6.823299378983701,1.0,0.017237528609979513,6.0,1.1261408570959026,0.06240389350884653
4.614005835764902,6.621065117839581,2.0,0.0110281298643915,4.0,1.0000014190307944,0.06724665289619033
4.783868278449354,7.254626837201983,2.0,0.013385032408957276,4.0,1.0000001953173823,0.060242664225183526
4.444560233430596,6.845808985908757,2.0,0.014771857479326855,3.0,1.0000115825626477,0.06659212932386344
4.646310962901209,7.176085604765914,2.0,0.012539684459190403,4.0,1.000000884528093,0.06252914853114071
4.545852438516048,6.970930715801386,2.0,0.008909724052755585,7.0,1.000030334485962,0.06317677205493122
4.716548561900792,7.528471815657867,2.0,0.015922208760787426,3.0,1.0000052904344963,0.06125631403895579
4.594622759483118,7.0962615616061075,2.0,0.01984654617327697,3.0,1.0000031625934533,0.06190134867537751
4.701125468945394,7.483752220325072,2.0,0.016279382083758343,5.0,1.0000117694588269,0.058575319811269094
4.603167986661108,7.198583064321157,2.0,0.016897333760411914,4.0,1.0000305376206504,0.0634258863586569
4.660275114631096,7.364791363028251,2.0,0.013999194652566271,8.0,1.0000856660321271,0.060086061965728826
4.614631096290121,7.130482400341211,2.0,0.014731098312836588,6.0,1.1836480200640636,0.057280641771735204
4.680700291788245,7.097293733114167,2.0,0.015788887005272145,4.0,1.000003873032409,0.06498262921007042
4.812838682784493,7.475873785535805,2.0,0.012001057618315658,4.0,1.0000074243061254,0.056587761452189606
4.57357232180075,7.335915647904133,2.0,0.014458323967812353,12.0,1.132373245146828,0.05388718088958172
4.524802000833681,6.951156764084584,2.0,0.008810082770761452,6.0,1.000005624327084,0.06542883537904995
4.438724468528553,6.919586427104219,2.0,0.0146799892781031,3.0,1.0000008459242549,0.06338865717856475
4.4568570237599,7.205038667608502,2.0,0.019839992454803113,9.0,1.1686313767397538,0.05386882833605201
4.551271363067945,7.230108288960038,2.0,0.020072616447971203,8.0,1.1434585458928601,0.05610254421758684
4.5687786577740725,6.975524456474884,2.0,0.015817619138736694,7.0,1.2329821109918973,0.056317134073137584
4.579824927052939,7.153572450335321,2.0,0.018010915228426017,9.0,1.2731355929785475,0.05509112873008358
4.491246352646936,6.959855295404811,2.0,0.024870684170817503,3.0,1.003967206413516,0.06504426293379059
4.48728636932055,6.6045748867640715,2.0,0.014429679672859907,3.0,1.000002302859412,0.0674344491904687
