mean,std,median,D,xmin,lambda,beta
2.932587127957263,3.6020972292501954,1.0,0.0113899033069772,4.0,0.20283175674028042,1.0836113304646966
2.9549732892393794,3.5190013800573343,1.0,0.018744115944176576,3.0,0.17569686237048004,1.234235195789733
2.8572882218265074,3.3842730637530467,1.0,0.014990675517070229,3.0,0.1804485811717611,1.2375440977542889
3.0264563724243194,3.5900753745471,1.0,0.021648976741903025,10.0,0.1464457403753044,1.434282665959913
2.9806664970745356,3.5737863366320113,1.0,0.015474261538079181,3.0,0.17822824681703386,1.2152153488423203
2.900788603408802,3.5567610063945625,1.0,0.01141876975078815,3.0,0.20154485732573746,1.0854318392000541
3.0007631645891633,3.532780593322511,1.0,0.012727419152721242,4.0,0.16889277938906982,1.289673656404192
2.9122360722462477,3.4870375016641195,1.0,0.017304200011914184,5.0,0.16864877155746433,1.2838240622571884
2.8967183922665987,3.4616063924712646,1.0,0.018947730193881185,3.0,0.180557100345293,1.2212793259030144
2.9636224879165605,3.6347414225491645,1.0,0.010025065267135425,3.0,0.18927222446985428,1.1259114668251162
3.014754515390486,3.5987767586730834,1.0,0.016029845230494777,3.0,0.18268565484214497,1.1754149705615409
2.9119816840498602,3.464378663991573,1.0,0.016332788275758042,3.0,0.16675272465276725,1.3113111512708207
2.932332739760875,3.5754754300223577,1.0,0.013301473897820881,3.0,0.17732942768905974,1.1942122749355342
2.9346222335283643,3.4945972733316646,1.0,0.01633521392107165,4.0,0.20759919271750682,1.1029082360518643
2.8969727804629866,3.43687020691097,1.0,0.014176943527885122,4.0,0.18587558700381895,1.2064665624831477
2.970999745611804,3.622082909340535,1.0,0.016187336217385995,3.0,0.18016551729615493,1.1732969332020726
2.9475960315441365,3.522475886796076,1.0,0.01119319119099782,10.0,0.1850354046888592,1.2192374110878557
2.967947087255151,3.5853499833953104,1.0,0.013857566073190553,4.0,0.1724076406434629,1.2315900977306555
2.8857796998219283,3.5094709626023817,1.0,0.014737581816047784,7.0,0.3007975872454147,0.9110338863704863
3.00330704655304,3.627776509593737,1.0,0.012877102399604351,7.0,0.19592992354115896,1.1368231161957674
2.998473670821674,3.613057203553497,1.0,0.015814045515323727,3.0,0.19304685732700527,1.1304093786522555
2.890104299160519,3.492934506559936,1.0,0.017077125532106024,4.0,0.18504821758189807,1.184409409313751
2.9399643856525057,3.549118635956269,1.0,0.008997891112401013,7.0,0.257347764591364,0.9730577720849574
2.8328669549732894,3.4174196339965475,1.0,0.023104925086246064,8.0,0.24936690828948815,1.045966553719417
2.932587127957263,3.5301923240886404,1.0,0.013648259616387715,7.0,0.15324939553851563,1.3548725174492804
2.853218010684304,3.4111279874959703,1.0,0.012811410302072335,3.0,0.18553875039987686,1.201379811207516
2.9392012210633425,3.5134103336988383,1.0,0.015016816982526326,8.0,0.19389926219194042,1.18250142691919
2.9058763673365555,3.5266609758010827,1.0,0.014255999910690542,3.0,0.18887750689729074,1.1527149631045166
2.8906130755532944,3.473377457126766,1.0,0.019339634200154082,3.0,0.17861095745585281,1.2260050529150242
2.9417451030272197,3.532012254279978,1.0,0.017940031802320122,8.0,0.1513436405035451,1.3647477064128877
2.8906130755532944,3.5159614829303796,1.0,0.01499988750370429,3.0,0.17716371442667095,1.2106723716773553
2.9040956499618416,3.4409228638819935,1.0,0.013459502203142515,6.0,0.17835810286460693,1.240961354331299
2.878656830323073,3.523194912760357,1.0,0.015099398404338493,14.0,0.14288733714999557,1.441229563812866
2.9442889849910965,3.4918518843475566,1.0,0.014662602535045283,6.0,0.18656092310903538,1.203961942705957
2.837700330704655,3.3248772386351795,1.0,0.009476277173359415,5.0,0.18973771689251911,1.2160406835549098
3.013736962604935,3.682628792273095,1.0,0.012902683078489185,10.0,0.13206874015732348,1.3782591874137908
2.8878148053930297,3.544660956948444,1.0,0.014191130499738414,4.0,0.20926564384407864,1.0707926719847123
2.940473162045281,3.6533899160070136,1.0,0.007113730636661653,8.0,0.29483479370937365,0.8999758816512896
