mean,std,median,D,xmin,lambda
4.967021712412945,4.817218079317045,3.0,0.014671090787836738,10.0,0.2559322706763627
5.04485866448177,4.7787418435856015,3.0,0.02037686635314595,11.0,0.27061618972903
4.990782466202376,4.753372317003963,3.0,0.013960042901748793,10.0,0.25902479874283235
5.097091356001639,4.829200294127164,3.0,0.010666531764137677,10.0,0.2597643790918244
5.097910692339205,4.8023447496021685,3.0,0.013931065757979087,15.0,0.2799424342105267
5.055919705038918,4.755378892863491,3.0,0.011836559103985345,10.0,0.2664800673052027
5.017410897173289,4.824649940152167,3.0,0.012869487142680993,16.0,0.2509760005231498
5.074149938549776,4.788547157971204,3.0,0.013033483405238688,12.0,0.2642440819218043
5.028267103646047,4.931569812461095,3.0,0.021506459683702798,13.0,0.23749694180969624
5.012290045063499,4.714661612969125,3.0,0.01388477751423106,12.0,0.2769651707048461
5.118803768947153,4.700080926504613,3.0,0.009495366546971695,10.0,0.27499517001545626
5.076812781646866,4.8095689136731625,3.0,0.011204478294596254,10.0,0.2607593431069103
5.042810323637854,4.637892587488928,3.0,0.016051544714062227,14.0,0.29447867905207714
4.905981155264237,4.6110016931407785,3.0,0.0102570764240566,11.0,0.28425704640078925
4.966816878328554,4.814047797125923,3.0,0.01843820561382259,10.0,0.2572431005787145
4.996722654649734,4.718194310400028,3.0,0.008686979635336933,10.0,0.2608405172413795
5.007578861122491,4.77229817824889,3.0,0.010401243263519794,10.0,0.26731124019566466
4.961491192134371,4.741381286753334,3.0,0.027416338297963968,11.0,0.2521079708347116
4.959852519459238,4.765413146060395,3.0,0.00788356451020217,11.0,0.26418688640486665
5.1052847193773045,4.762053932015214,3.0,0.017450668308892414,12.0,0.2626185143785387
5.0333879557558365,4.787956815989079,3.0,0.011202699770941573,11.0,0.2559521922873748
5.015567390413764,4.809922849716299,3.0,0.013669771251310305,10.0,0.2631281767392987
5.0272429332240876,4.812957399426407,3.0,0.028885781733677618,10.0,0.25061128733809124
4.965997541990987,4.816594360702711,3.0,0.02045891772972208,13.0,0.2381344211032712
4.892052437525606,4.671295096309788,3.0,0.012474534087878242,10.0,0.2704950973088213
5.068619418271202,4.8269948890512095,3.0,0.02070201193526444,11.0,0.2499565018315025
5.156493240475215,4.930289114298351,3.0,0.019436713692250085,10.0,0.2549470514950165
4.992421138877509,4.7602649941844986,3.0,0.011365075233705335,10.0,0.26344285504055154
5.0333879557558365,4.805933912449696,3.0,0.012506734941687636,10.0,0.2606726234633317
4.976239246210571,4.669916529420795,3.0,0.023013101346494813,12.0,0.2738419263596665
4.97378123719787,4.660814974949894,3.0,0.0137666810782211,11.0,0.2879512080439818
5.037894305612454,4.773784531508466,3.0,0.012832842108697616,10.0,0.2564149848939321
5.0049160180254,4.756846378362745,3.0,0.01726485193825683,10.0,0.2643515125266531
5.098115526423597,4.8006554811310425,3.0,0.016806984358112786,12.0,0.27500294498763084
5.074354772634166,4.745942211609716,3.0,0.011143382376901713,10.0,0.26436179615186833
5.011675542810323,4.826916850226062,3.0,0.01668949446875112,10.0,0.25813786030099484
5.060426054895535,4.839183030583093,3.0,0.012165804242629807,10.0,0.25575742013918024
5.054076198279393,4.6824111488712505,3.0,0.010668052555541265,14.0,0.2761401347546257
5.000204834084392,4.7574302005281774,3.0,0.022063958235200357,10.0,0.260828223287611
4.999180663662433,4.808159047854629,3.0,0.0,33.0,1.098600746268659
5.008807865628841,4.74435824123941,3.0,0.012435675920046465,10.0,0.26386705101327745
4.9362965997542,4.7188289901856,3.0,0.01519439913693088,11.0,0.2577352631798935
5.137034002458009,4.931595255088082,3.0,0.013383161990926151,16.0,0.2581174809722573
4.9727570667759124,4.7409625682245435,3.0,0.01630982486923893,10.0,0.2695987105739394
5.0094223678820144,4.7299798363815775,3.0,0.010741256177611793,10.0,0.26378962452555443
5.035641130684146,4.6538913964244415,3.0,0.02582118734314576,12.0,0.2973922821969697
5.04240065546907,4.774561824009616,3.0,0.014169169475677812,10.0,0.2598587953934822
5.03236378533388,4.711698171176869,3.0,0.014862587565308227,11.0,0.2842507996351865
5.058992216304793,4.715568413809988,3.0,0.009524001520247016,10.0,0.27860191508313603
5.064932404752152,4.895098176634304,3.0,0.01912412059578156,10.0,0.2569146979481737
5.099139696845555,4.785998294790755,3.0,0.014638454191088226,10.0,0.2699298604071636
4.8123719786972545,4.647027584296301,3.0,0.012070818737819566,10.0,0.2632170679886684
5.057558377714051,4.848352201439756,3.0,0.010711147457079462,10.0,0.2513417307774276
4.9811552642359676,4.678002649012536,3.0,0.013191047952106684,10.0,0.26976427873512154
5.051823023351085,4.868443158800728,3.0,0.011543845716834505,10.0,0.2508562314697166
5.045678000819336,4.705562830282607,3.0,0.021091299436519658,13.0,0.29468397377249234
4.933428922572716,4.658676856492979,3.0,0.010578441432557623,13.0,0.28159604139017946
5.095862351495289,4.807629477406927,3.0,0.015811758517800034,10.0,0.2564038012277911
