mean,std,median,D,xmin,KL1,KL2,alpha,lambda
4.389169839195409,5.979721094304123,2.0,0.006539706213143592,0.011043920449334053,0.005390535118722269,11.0,1.0000076295789158,0.08310430849044564
4.35740667083357,5.889964518542259,2.0,0.006453602814428083,0.0038017830168413534,0.001209429070755631,6.0,1.0000004332000867,0.08408198023922123
4.347860673901926,6.001237617658337,2.0,0.009361400085576899,0.005933660679277044,0.002236900622195023,7.0,1.0516939300430517,0.07896487764139712
4.389539178362407,5.997717306190622,2.0,0.0072761731365755256,0.010090270901736503,0.004529066773771407,10.0,1.0453155689204445,0.08212053307738283
4.394056480481845,6.0538204834666205,2.0,0.008645435279020841,0.006046681547088,0.002283554370969397,7.0,1.036853608655796,0.07915538523227841
4.385732143871811,5.996925919234327,2.0,0.006354652124322402,0.012946803256670645,0.005300702899665468,14.0,1.2105390873625779,0.07721883936848764
4.4011307460651174,5.973323262682904,2.0,0.00527981396552013,0.007948262777814463,0.0029263550292689235,9.0,1.000007337761037,0.0827621875549375
4.350360815955452,5.968393537334032,2.0,0.007560703014970582,0.011252555987329506,0.005461134901048715,11.0,1.0000116982202216,0.08215721130129125
4.36922552417751,5.950435336559749,2.0,0.007995643662470964,0.01717411373069475,0.007620053651502153,14.0,1.0000072599937757,0.08095046072102716
4.397181658048753,6.039854284299334,2.0,0.009347998520316647,0.005814190100995151,0.003215691483411928,6.0,1.00000228166942,0.08096161978098723
4.430763111540428,6.046660173894414,2.0,0.00857860924226539,0.007700217987008452,0.004502324091157841,11.0,1.1164744141483385,0.07889043068018736
4.399852264333201,5.964834538525467,2.0,0.008257505644148178,0.0058667777590859305,0.002640520644857518,6.0,1.0000005526455271,0.08268280174356832
4.411756349792602,6.008563067715443,2.0,0.008176162116971253,0.006504266226430887,0.0024737747936257283,6.0,1.000000730296336,0.08045019459414662
4.402210352860958,5.99641185784372,2.0,0.00845670378039165,0.013474735928330534,0.004465739174697207,13.0,1.0000092193557522,0.08182105143832744
4.387578839706801,5.971689772533453,2.0,0.008951313383212256,0.01765090770113396,0.009996179520827396,17.0,1.00015276677934,0.08359264996309788
4.393260980737542,5.972179382157246,2.0,0.005336645399019013,0.0059635986760706566,0.002297476548511853,7.0,1.0000002894988007,0.08296696843800334
4.392579123813853,6.023537892388526,2.0,0.007403530605034181,0.007699215691188744,0.003718318660230191,7.0,1.000003383472258,0.08158866616433108
4.418177169157339,5.967233127077004,2.0,0.009776316159755383,0.004334122134556742,0.0027165828194340687,5.0,1.000001178935856,0.08363811262710039
4.378771521109154,5.9631285067157895,2.0,0.010986290385899267,0.014036370752085827,0.006239887723461331,14.0,1.285969541442396,0.07615224672188547
4.347519745440082,5.907042514833847,2.0,0.00968505938357278,0.007371920307796619,0.003257222749252267,7.0,1.0000002635687193,0.08371488832892923
4.386101483038809,5.946646319112429,2.0,0.004750075507598317,0.01010316906037041,0.0037720090045072047,10.0,1.0000048021668542,0.08395457486661631
4.366498096482755,5.934750839839719,2.0,0.007054157093922209,0.017569877952442112,0.008286468554452016,16.0,1.0000045686980092,0.08524926214410627
4.364537757827149,5.899786280281747,2.0,0.005929550416474305,0.008525853787210515,0.00361695896857675,9.0,1.0000110506272235,0.08480595365701044
4.385476447525428,5.97815467363395,2.0,0.004629130135226145,0.006781926074167273,0.002239697398833908,7.0,1.0000007390160468,0.08197512718356807
4.415563384283198,6.138273907861439,2.0,0.00958404398557533,0.02747494364279628,0.007490186292888415,19.0,1.60245979970101,0.061909716621790366
4.350531280186374,5.953284111446778,2.0,0.004980252044323175,0.010322784410201234,0.004830400364036123,12.0,1.0000059447515444,0.0823396976947429
4.424569577816921,6.033495609661796,2.0,0.0076377299040302216,0.011965530855076144,0.0046745976939997986,11.0,1.0000276854691323,0.08247289909700517
