mean,std,median,D,xmin,alpha,lambda
5.505120852109791,7.077298555960761,3.0,0.01674950006908471,9.0,1.391951718870177,0.059436645723266616
5.486890618598935,7.182379506741421,3.0,0.010242970455806577,7.0,1.0000077804631953,0.06996375398066909
5.604465383039738,7.168299601974265,3.0,0.014892580453709225,4.0,1.000007938387471,0.06975818041670939
5.763211798443261,7.410842075093955,3.0,0.012035734409979182,13.0,1.0548232122590298,0.07112939855107878
5.477263416632527,6.985294676122013,3.0,0.01122581278258361,4.0,1.000004381988161,0.07117235136281319
5.46763621466612,7.094772881296548,3.0,0.0121094891599961,4.0,1.0000001120178958,0.06882435059504183
5.644203195411716,7.131080613984982,3.0,0.01059361089520941,3.0,1.0000055687394886,0.06922478620302203
5.772634166325276,7.862600607242937,3.0,0.01652168898481987,10.0,1.0000359802190615,0.06170675394920167
5.483613273248668,7.17195578822962,3.0,0.016904591341520447,3.0,1.000023012691244,0.07115441660639207
5.646046702171241,7.497758352715924,3.0,0.013310494076217205,11.0,1.373722926489337,0.056046205299096784
5.6034412126177795,7.257513336784062,3.0,0.012320061053039136,10.0,1.0000051410005621,0.06956768149950218
5.678000819336337,7.271915094198926,3.0,0.010574443678600831,3.0,1.0000000006499221,0.06671279936918917
5.531954117165096,7.502498766561834,3.0,0.017201429013527725,9.0,1.3355295933231937,0.0531142258370612
5.510856206472757,7.2756619622653895,3.0,0.012593829771009313,6.0,1.0567604854046468,0.06838007669060302
5.590331831216714,7.3864844362804725,3.0,0.01212464249105738,4.0,1.0000110842882477,0.06818845845926597
5.67083162638263,7.330496511953119,3.0,0.011676353848989907,6.0,1.0000023660196122,0.06864748049728561
5.632527652601393,7.2684910136759715,3.0,0.016681092643922923,10.0,1.0000230584318897,0.06802972428885998
5.426464563703401,6.909998170697538,3.0,0.011528575258175522,8.0,1.0000388536370544,0.07647556107444509
5.582138467841049,7.220066864037963,3.0,0.013292321110642935,3.0,1.0000023615107554,0.06741136016650293
5.694592380172061,7.615364776004988,3.0,0.017254617590604093,11.0,1.0001504758787407,0.06396408708173337
5.5895124948791475,7.271345599338405,3.0,0.011831312153506635,10.0,1.0349175788717866,0.06952876831974396
5.68578451454322,7.297140369189742,3.0,0.013149001541893246,6.0,1.0000270035821837,0.07068329962390282
5.58725931995084,7.178808992567066,3.0,0.011123818709219302,5.0,1.0214292119598178,0.06984100748832699
5.583777140516182,7.538162299530412,3.0,0.014233645227395564,8.0,1.1037385116493477,0.061479164103400624
5.727570667759115,7.543424322524334,3.0,0.011947370422061954,8.0,1.0000289091164192,0.06684499444907366
5.601802539942646,7.268901734990456,3.0,0.01108379086201916,6.0,1.0000157184997436,0.0671096712291189
5.688242523555919,7.677218077602832,3.0,0.01026692454253264,7.0,1.150230897780666,0.059531590902320464
5.522736583367473,7.002983741677803,3.0,0.007521338182018694,4.0,1.0000011189930704,0.06962284180811934
5.796599754199098,7.6491990776338685,3.0,0.013011028244427458,4.0,1.0000032998849864,0.06463206262368468
5.724702990577632,7.39783620417186,3.0,0.014693104812136037,6.0,1.013735183233275,0.0666336846673114
5.615321589512495,7.46011618265057,3.0,0.01464691095745474,7.0,1.0481145037833746,0.06367314827597695
5.445309299467431,7.01090473822424,3.0,0.015455275160725646,5.0,1.0000220505726767,0.07367810791839915
5.529700942236788,7.127305442337142,3.0,0.01343408232786969,7.0,1.1002061248791883,0.06978044290139247
5.3484227775501845,7.036865714030768,3.0,0.015003886554323609,11.0,1.0390412008833745,0.06985970530470276
