mean,std,median,D,xmin,alpha,lambda
3.377470826387235,4.236425268662281,1.0,0.0115664662406737,5.0,1.000004389659474,0.12653759689261704
3.4286734936889736,4.271406387771768,1.0,0.01987544690028531,4.0,1.2193567754142909,0.10978026961084296
3.5703738985472726,4.475408568601658,1.0,0.011961289563901913,4.0,1.0000017942450556,0.1134490940205791
3.5055965706120507,4.381585296124426,1.0,0.017791265326847272,4.0,1.00000959436611,0.12001178299067294
3.3567516075256014,4.113175818178346,1.0,0.023773195221733826,8.0,1.2818211798496328,0.11874935334847457
3.2860204810669207,3.87957227893151,1.0,0.021209527340487973,4.0,1.0000236027239204,0.14422065188896954
3.5918075732317214,4.466977034286589,2.0,0.014712588230098356,11.0,1.000012890302207,0.12602253786284062
3.4027149321266967,4.211032614156341,1.0,0.012659603979492284,5.0,1.0000035369499112,0.12379155111675702
3.347939985710884,4.151760865646616,1.0,0.015004046296976159,6.0,1.0001705959968583,0.1302887807471787
3.3679447487497023,4.158691989941324,1.0,0.01651233263081675,12.0,1.000025108297354,0.13109156476263795
3.4651107406525363,4.154054098077116,1.0,0.009511794867170352,5.0,1.0000075566625162,0.13054809840732584
3.3893784234341515,4.0937561375308045,1.0,0.01888921374250474,4.0,1.000008522440461,0.12954566067950918
3.377470826387235,4.148606182271222,1.0,0.018756220082341683,4.0,1.000001629899645,0.12650034119451434
3.5153608001905217,4.367080059038844,1.0,0.013219475973661354,4.0,1.0000049651177791,0.11907204711082747
3.3460347701833766,4.163147369219974,1.0,0.010480697487244672,6.0,1.0000046283049622,0.12499921381269885
3.5222672064777325,4.3990534611639145,1.0,0.014165586437528853,4.0,1.0000577388467806,0.1212590766823316
3.311740890688259,4.174764317020148,1.0,0.018544038684616848,7.0,1.0556661371343388,0.11816501763701585
3.4489164086687305,4.432252932327165,1.0,0.015112181593481266,6.0,1.058701704746592,0.11514780324325675
3.4994046201476543,4.385663400841424,1.0,0.011944329954694188,6.0,1.000037501088079,0.12836109559260894
3.3307930459633246,4.146390312289968,1.0,0.013170637988467848,4.0,1.000001306503858,0.13016922180430462
3.438199571326506,4.189592134683683,1.0,0.0210275547197199,6.0,1.324345269534536,0.11065647216074533
3.3284115265539413,4.156045316264724,1.0,0.021236551283303817,3.0,1.0000029410317683,0.12237229516015093
3.314836865920457,4.097344491227648,1.0,0.011134024139032306,8.0,1.0000158592360375,0.1272305230155617
3.3665158371040724,4.235644461300721,1.0,0.011987910271395452,5.0,1.0000302972292163,0.12430209400882952
3.4589187901881404,4.2881079011132925,1.0,0.010826848451948146,4.0,1.0000080912479399,0.12044394453609113
3.494641581328888,4.405760302999099,1.0,0.0143770302773919,7.0,1.0000708967073375,0.11569061461447015
3.421052631578948,4.2561354490935575,1.0,0.010855718350452737,5.0,1.000000026088849,0.12404930593292085
3.5358418671112166,4.415606882280456,1.0,0.010464457886806168,6.0,1.0000034355611245,0.1224167365943574
3.4817813765182186,4.359209162107892,1.0,0.021524634325428397,6.0,1.000009143578307,0.11769360885949365
3.4112884020004763,4.229673945314643,1.0,0.016991568110056754,4.0,1.0000126876101492,0.12495117654099035
3.3839009287925697,4.215982239080762,1.0,0.010396130666101566,5.0,1.0000151989660726,0.12404522483540695
3.4236723029292686,4.2440798875829335,1.0,0.010628653334519287,5.0,1.0000050255992448,0.122987957332246
3.3922362467254112,4.2022852655570855,1.0,0.01856696217128484,4.0,1.0000301590607743,0.1250124810933545
3.3769945225053584,4.063622905674476,1.0,0.014656898283923026,7.0,1.00000453357727,0.13486180317878144
3.572517266015718,4.755154596348537,1.0,0.023719774860179173,5.0,1.0078482999230884,0.10825478241424584
3.521076446773041,4.468883307101851,1.0,0.014938133617386162,6.0,1.1943396888668096,0.11019785027207007
3.4994046201476543,4.436038208499885,1.0,0.02077001820990321,8.0,1.0000049250308305,0.11567160687264015
3.301262205286973,4.055811612692912,1.0,0.017688772848951432,6.0,1.0000049215015498,0.1305475282703561
3.3410335794236725,4.0337832685399775,1.0,0.016422432932175046,4.0,1.0000152729690703,0.1358224639039028
