mean,std,median,D,xmin,lambda,beta
4.2548978741142145,4.961318903747766,2.0,0.0142874778907629,14.0,0.16618812514799802,1.2010604905818074
4.205710712796999,4.89931904666164,2.0,0.01673190227798077,9.0,0.12522563025299516,1.403879198284675
4.121717382242601,4.762839802723247,2.0,0.01541537684346228,5.0,0.11932637352285208,1.4823501983370078
4.350562734472697,5.018896212461292,2.0,0.014068726143708243,8.0,0.12084166446883038,1.4100660799711444
4.277824093372239,4.9548747472198205,2.0,0.012049166418382273,10.0,0.14930436354075585,1.2272157900326353
4.329720716965403,4.97870374712309,2.0,0.014300069344210686,15.0,0.2530969022333594,1.0191888914336187
4.293247186327637,4.886506870702558,2.0,0.01574049136862321,5.0,0.11758032828209466,1.4944394659859999
4.381825760733639,4.958067081045299,2.0,0.01475378918117115,11.0,0.12080154419117975,1.4450531858085451
4.213422259274698,4.965144361017155,2.0,0.01151046313775439,13.0,0.18513704670927505,1.1130065758344667
4.355773238849521,5.151188466560408,2.0,0.011572951987700086,8.0,0.13675964417497394,1.2384055163490355
4.315756565235515,5.080113267792679,2.0,0.015220388484001979,10.0,0.1595009484064927,1.1461652062076833
4.216340141725719,4.921591101353524,2.0,0.013550316971124937,17.0,0.09155503971525339,1.709846872544091
4.3284701959149645,4.978200309178731,2.0,0.012699691136661029,6.0,0.11883783383766511,1.4450924685145252
4.279283034597749,4.909556332220813,2.0,0.014746909677721992,5.0,0.12340359666194049,1.401417014012583
4.324927052938724,4.966256263672144,2.0,0.013296262248761903,12.0,0.13898278079050555,1.317063832644818
4.1661108795331385,4.790191834725042,2.0,0.015052062154461976,8.0,0.13339032607724766,1.3489600188797013
4.240308461859108,4.967252584426312,2.0,0.014993930601140626,11.0,0.11947419667944753,1.4422888817000046
4.233430596081701,4.911143714332109,2.0,0.015918735784248517,14.0,0.08918931459407872,1.8633490847707277
4.3793247186327635,5.09647707509074,2.0,0.012023941867050914,6.0,0.11957300507249821,1.3902122607348466
4.348895373072113,5.017018746636407,2.0,0.012689068876122589,14.0,0.1280867503665622,1.3901215970588912
4.2505210504376825,4.785713979603841,2.0,0.014849033903592046,14.0,0.18103555314255237,1.2076724818758497
4.220925385577324,4.903355672500171,2.0,0.010992913722546405,15.0,0.1354445935991944,1.350688301455874
4.252396832013339,4.908995652393808,2.0,0.015875976919569545,4.0,0.1125845387494083,1.5561185475364643
4.178616090037516,4.792830332382507,2.0,0.014369043533458914,5.0,0.12064789036466267,1.4697290308186215
4.311796581909129,4.967328696556112,2.0,0.017921231085333722,5.0,0.1169359407097341,1.4582066910595413
4.400375156315131,4.974966078185793,2.0,0.015350249177863984,3.0,0.11998239993406537,1.4336272308834055
4.245727386411005,4.918495506070002,2.0,0.01232220111386173,8.0,0.11927198553737364,1.4685989479516126
4.250104210087536,4.962969899842156,2.0,0.013037794682653314,13.0,0.11886109895260158,1.481666888619568
4.280741975823259,5.001059507556088,2.0,0.008693366169853611,9.0,0.12735461827244465,1.3500349406321317
4.370154230929554,4.9351485427692445,2.0,0.013983818835109685,9.0,0.12862669145444275,1.3789261292853237
4.289912463526469,4.969387986235288,2.0,0.018118614607547046,5.0,0.11744983432044048,1.4517374835930568
4.282409337223843,4.9425278727845035,2.0,0.017687091039529118,16.0,0.11344034457313285,1.4868426158321042
4.298874531054606,5.018544474823669,2.0,0.011110061435160246,9.0,0.12429749260130185,1.3691727251449248
4.266152563568153,4.852624270711434,2.0,0.016127781572276123,12.0,0.11800103122069205,1.5090166606884186
4.196331804918716,4.833644753249693,2.0,0.017394374866902207,10.0,0.10385592272852029,1.6813112949955555
4.297207169654023,4.934421605949288,2.0,0.018136159696991117,3.0,0.11934103808254101,1.4397404061207806
4.329303876615256,4.956368610488134,2.0,0.013170779084335726,7.0,0.11683182465393907,1.4688719363423384
4.218215923301376,4.920470632783338,2.0,0.01783514038294909,5.0,0.12163651024799042,1.4006333554538193
4.17965819091288,4.896833428236236,2.0,0.015902377015028002,13.0,0.25173532074804383,0.9857914028630157
4.3197165485619005,4.943481204815565,2.0,0.0215755757427476,3.0,0.11714724552506424,1.4783201403214323
4.2169654022509375,4.9137016754294445,2.0,0.013566976643297868,6.0,0.10939324541492551,1.583869279761137
4.320967069612339,5.0143127931114035,2.0,0.011574782430483932,11.0,0.10911567162944798,1.5077967608696246
4.420383493122134,5.239791609377865,2.0,0.010715854676929593,14.0,0.11469658127103957,1.4210512099277137
4.325343893288871,4.964759893996766,2.0,0.01707183652649713,5.0,0.11688790179441619,1.463661016735091
4.398290954564402,5.089484086541454,2.0,0.013170064171639628,10.0,0.14044828797802694,1.2780937307482172
4.305127136306795,4.900113010760638,2.0,0.015610241330214714,10.0,0.11308025087382771,1.5544494492252834
4.315964985410588,4.985242855476336,2.0,0.01557643033567685,10.0,0.12425456485978362,1.3940436680966832
4.2494789495623175,4.913473358579636,2.0,0.017727060427463637,7.0,0.10482012113667398,1.6468095948473658
4.327636515214673,4.959169581945473,2.0,0.009794973926422146,14.0,0.191610252901583,1.1270828684883976
4.319091288036682,5.153509899544703,2.0,0.011393754143166235,13.0,0.18533191053517978,1.07567865466593
4.225927469779075,4.8543413534242426,2.0,0.021208096209168803,11.0,0.10743873946001797,1.6320523884671743
4.379533138807837,5.0007475504992955,2.0,0.018899787451414823,7.0,0.11356104407045146,1.531376519186063
4.283243017924135,4.89672570414584,2.0,0.013868890792634758,6.0,0.12290504206089795,1.4175297200007013
4.295748228428512,5.005027344690997,2.0,0.015698416536185644,15.0,0.14608569397235394,1.2836896711519956
4.213422259274698,4.864728211996533,2.0,0.01574929259611546,4.0,0.11976578386335339,1.447267683098358
4.3003334722801165,4.911476031110978,2.0,0.0197372071357812,5.0,0.11202961044351678,1.5636700003188118
4.2332221759066275,4.868894395600151,2.0,0.015480674188083493,11.0,0.11197542925673325,1.5331883464338574
4.210087536473531,4.922920501248851,2.0,0.01810175630774355,10.0,0.15426367616024653,1.2124026863317496
4.308045018757816,4.916787973155126,2.0,0.016016961428022003,16.0,0.12506127819296312,1.4630466016825872
4.240516882034181,4.863892440248541,2.0,0.013932393898152595,15.0,0.18099602581141178,1.1780439162320315
4.361192163401418,5.040706618521963,2.0,0.019751742343442236,5.0,0.1104253363849999,1.5318826311632996
4.197790746144227,4.911286704624427,2.0,0.013537671561477227,14.0,0.4145094814396885,0.8195296507681578
4.340766986244269,4.949765279159882,2.0,0.016858656402082617,8.0,0.12522253794708574,1.4054923684056106
4.230304293455607,4.937511008123641,2.0,0.011804933209966229,10.0,0.12801004430823543,1.3473800611151074
4.273864110045852,5.015485452327553,2.0,0.012652360879181979,10.0,0.1178166072813533,1.4222104563186564
4.256356815339725,4.9733906598525905,2.0,0.013948291618146258,10.0,0.14143777790083295,1.2696858035223102
4.3003334722801165,5.01577792908937,2.0,0.021055618289712474,8.0,0.12720369221970182,1.3558259457948214
4.292830345977491,4.925022949735286,2.0,0.015025349726112108,12.0,0.15279088046476974,1.2422005510563001
4.279283034597749,4.918208902708306,2.0,0.012882062124869087,9.0,0.11511113395326285,1.4919449265253188
4.314297624010004,5.032160827868995,2.0,0.01581797146464481,6.0,0.1177646068022589,1.4150708141411674
4.3641100458524384,5.080693166209257,2.0,0.015270591559166297,8.0,0.11736140098744471,1.4199451835942432
4.269070446019175,5.001951058565668,2.0,0.013620693881115115,7.0,0.1310762606579402,1.2982845252379764
