mean,std,median,D,xmin,KL1,KL2,lambda
4.165208250468777,4.62665549580535,2.0,0.017749417959244562,0.020401871804028093,0.002935918660658187,20.0,0.7826648871469113
4.207881129609637,4.6526239773745734,2.0,0.013452613202126984,0.01463346815985178,0.008057401776224576,20.0,0.6682202088452119
4.16569123245639,4.620244428701909,2.0,0.0270246506252505,0.03535628409111348,0.0031146224921361036,21.0,0.6508802263439191
4.205352576850958,4.653801681869124,2.0,0.017923751030304524,0.014783065086337074,0.009282535523733716,20.0,0.6502108465422909
4.20867662935394,4.672379955004569,2.0,0.009085141018379983,0.007873487205907557,-0.0045298903785615,20.0,0.848799566537308
4.192510938121484,4.638403720635914,2.0,0.023282834230851868,0.01022241021675578,0.006350698916749631,20.0,0.6112357231319674
4.179868174328087,4.635918433043686,2.0,0.02522366663310749,0.03060937695255299,0.021574652394305015,20.0,0.7254933578745189
4.225978748792545,4.641639767904,2.0,0.021377568118547408,0.010143835586996029,0.004690076379300409,20.0,0.7404681307793918
4.187936814591739,4.641619057831397,2.0,0.020225402593298636,0.015270886011487184,-0.001186431559677098,22.0,0.688293566254792
4.204784362747883,4.638674345653013,2.0,0.010973227082882064,0.013702272463707124,0.01260132699141113,20.0,0.71338575771749
4.234331496107734,4.682750897673322,2.0,0.0052085419578400405,0.008728015054032806,0.0013205082229584574,20.0,0.7426184786130894
4.204443434286039,4.665073171446594,2.0,0.013978320753000872,0.029680510968857925,-0.0017406223200430023,22.0,0.8394508009153308
4.237655548610716,4.676126333845249,2.0,0.01994123208745091,0.013604669693371318,0.007525299838340546,20.0,0.7534436161068496
4.188703903630888,4.634926674430533,2.0,0.027374718522719332,0.012539788753281576,-0.0004022034495896518,20.0,0.8406064040804764
4.208903914995171,4.642993390241499,2.0,0.018055450344057644,0.01979245080307535,-0.002407638939042829,20.0,0.7067754688493317
4.210409682368317,4.675168386282213,2.0,0.026842219496495068,0.02126827906950604,0.014569564765370753,20.0,0.680567835365856
4.196602079663617,4.640595890998925,2.0,0.017538583352395665,0.04326838870479496,-0.003405927688422603,23.0,0.916307218309863
4.206375362236491,4.646394213304393,2.0,0.009950041040337254,0.011698509138393315,-0.004177563142315283,20.0,0.6758662974683557
4.197795329280073,4.636122792890327,2.0,0.012260653294072554,0.010780367337667358,0.0012373619366841363,20.0,0.6650325076590996
4.181629638047617,4.633593926269317,2.0,0.026261678477129458,0.02172522560564937,0.010509023554543053,20.0,0.7354494839761009
4.1956645263935455,4.669932459316306,2.0,0.01719373195182483,0.017003247762620487,0.0021054035796957467,20.0,0.7300358181705683
4.169555088357293,4.6359056879543346,2.0,0.014836191745262073,0.006389558004325068,-0.0019168740712682407,20.0,0.6861456512972173
