mean,std,median,D,xmin,alpha
2.9701418263249564,5.852768021254074,1.0,0.05530617845467978,14.0,3.0680128695008952
2.815128141328689,5.157283353395714,1.0,0.04596183710166207,17.0,3.335767460614573
2.9450111968151282,8.350091182766306,1.0,0.035577780566035666,20.0,2.8534584886870302
2.904205026125902,5.757523047583761,1.0,0.03113564025147153,17.0,3.4628709036639465
2.883801940781289,4.955706659120651,1.0,0.04066426195110462,23.0,3.5135017209603245
2.7556606120925604,4.756945360914583,1.0,0.03373166883361722,18.0,3.7178538919338053
2.8808161234137843,5.090812798538894,1.0,0.04412028597420681,13.0,2.9006055928748404
2.957203284399104,5.556483225790959,1.0,0.04005505431630446,26.0,3.6912424972494207
2.880318487185867,5.138524809834337,1.0,0.03291506591380233,16.0,3.5535230643580578
2.9397860164219956,5.9971260475373365,1.0,0.0397020820570535,15.0,3.2301548191755076
2.9350584722567805,6.007709450722822,1.0,0.04147193646848324,14.0,3.0006140132331667
2.8429957700920627,5.3829218188655625,1.0,0.029927522196397494,16.0,3.804593145540067
2.7797959691465537,5.21496400492883,1.0,0.04975536468100272,7.0,2.6785989925387312
2.921373475989052,6.415627575534628,1.0,0.03649138973624322,15.0,3.0500175148539532
2.783777058969893,4.461136883147931,1.0,0.03576980799382368,22.0,4.3714307484731805
2.9634237372480716,5.904810630037596,1.0,0.04842489207177303,7.0,2.6264363771680803
2.8489674048270714,10.143721170142097,1.0,0.03787438299347223,15.0,3.4656132552131753
2.9315750186613587,6.35333085248655,1.0,0.04368615950808852,23.0,3.3783835964560485
2.9275939288380193,6.444239551505385,1.0,0.04082958494853084,6.0,2.4472528618646305
2.858173675043543,4.6411178468199195,1.0,0.04685932959885303,15.0,3.6231240349248974
2.9236128390146803,8.166005142994715,1.0,0.038762329712398125,17.0,3.604738912498223
2.9902960935556107,6.097177332393619,1.0,0.053023196427016805,20.0,3.16119849136461
2.6810151779049516,4.579916060007448,1.0,0.05522132726069573,6.0,2.5148292601553752
2.8019407812888777,4.487863284502954,1.0,0.06308847764543246,6.0,2.507735475676493
2.8193580492659867,5.183299832103265,1.0,0.04471017358962731,16.0,3.49874010016097
2.852699676536452,5.066583246096591,1.0,0.04134395312886385,17.0,3.2227374767669104
2.8472256780293606,4.933350170828586,1.0,0.03515045814560164,20.0,3.866464530220729
2.910923115202787,5.420604999963006,1.0,0.03663520514985508,20.0,3.416932356056602
