mean,std,median,D,xmin,alpha
2.9474781158816175,4.912633213108475,1.0,0.03552681846192429,13.0,2.7988340232074753
3.020008336807003,4.8958745042380025,1.0,0.024033445351843485,8.0,3.100012466282064
2.987077949145477,4.782061424736785,1.0,0.02758602675147115,8.0,2.9917157359209767
3.1586077532305126,7.852701623026416,1.0,0.02485544215104063,8.0,2.9970062999265332
3.0706544393497293,5.896725625493092,1.0,0.023198379247928003,8.0,3.0310779199599778
3.042934556065027,5.379611121189451,1.0,0.03334674887247513,10.0,2.823122172382874
3.030846185910796,5.042781434339135,1.0,0.020044581998399535,8.0,2.9528449316759224
3.106294289287203,5.550852296323788,1.0,0.01897093545475692,8.0,2.93527561509468
3.178407669862443,6.590905399085879,1.0,0.014761135102228873,8.0,2.919277574277716
3.1225510629428928,5.71717646272327,1.0,0.018093037091489905,8.0,2.960581931054343
3.1204668611921633,5.372074562890979,1.0,0.02352673993807669,8.0,2.82478336918503
3.038974572738641,4.628637315706846,1.0,0.025209757791103016,8.0,3.055648649768483
3.0677365568987076,5.818768156877058,1.0,0.02531313368841004,8.0,2.866022487820702
2.9274697790746145,5.48598501384555,1.0,0.02123453760539551,8.0,3.1444513257447286
2.961025427261359,4.630753167337979,1.0,0.025566984282247573,4.0,2.6686995322433607
2.952688620258441,4.309229417607288,1.0,0.017593562457722034,8.0,3.076962657176877
2.938099208003335,5.230107621507462,1.0,0.02253434854896741,9.0,3.147794485392558
3.0454355981659025,7.389904662519927,1.0,0.02925960753197787,4.0,2.578440039398976
3.0917048770320967,7.490408621151362,1.0,0.03401086642445372,8.0,2.9751597057534545
3.0977490621092123,5.253021832054679,1.0,0.03283458382880888,8.0,3.0101569032012776
3.002917882451021,4.736226144169337,1.0,0.009247790440653159,8.0,2.973593342336321
3.0164651938307627,5.727006498027283,1.0,0.01608968116956394,9.0,2.906087749018006
2.9416423509795746,4.551398372857767,1.0,0.017427649237964027,8.0,3.082206958421423
2.9622759483117966,4.884582254277271,1.0,0.02105246555353657,8.0,3.1194992084316255
3.21217173822426,5.5774887182631385,1.0,0.019101576406975962,8.0,2.945801253995466
3.028136723634848,4.596952466178497,1.0,0.028800382825887594,8.0,3.016264719023255
3.2111296373488956,9.053395468188215,1.0,0.03272939358617588,8.0,2.980969876500588
2.960608586911213,7.0581688861054195,1.0,0.017553130048389876,8.0,2.9960901555253647
3.0910796165068777,5.449093645022746,1.0,0.025970077403475234,8.0,2.935279205816318
3.110045852438516,5.85410178146571,1.0,0.02234607314270498,8.0,2.966788917136422
3.0327219674864527,4.5584038860265395,1.0,0.030115255768688676,4.0,2.543852671757532
3.0381408920383493,5.442718120300568,1.0,0.024638526178925146,8.0,3.0670797921704267
3.0573155481450605,6.165922400283959,1.0,0.030206533467458385,8.0,2.9715978077642466
3.1079616506877867,5.1831820707638405,1.0,0.027467724628493673,4.0,2.5025210223618144
3.047936640266778,5.037230595709465,1.0,0.01947683736185213,8.0,2.951451115524621
2.949145477282201,4.677591777696938,1.0,0.013518526462767966,9.0,3.1688805131541056
3.2344726969570656,8.846818526689077,1.0,0.0395629463590732,4.0,2.4939421538772866
3.007503126302626,6.27070525965049,1.0,0.022796143853815287,8.0,3.071191799600309
3.106502709462276,5.163774181801404,1.0,0.013070673428393687,8.0,3.0965624064298845
3.1206752813672365,9.5795427027346,1.0,0.02674178945647454,8.0,3.092672771437549
3.130262609420592,6.63917890352003,1.0,0.02142247255106089,8.0,2.9725045261919307
3.16902876198416,7.2284221688896,1.0,0.025393059040272892,9.0,3.0321364001531825
3.1106711129637348,5.688749082092768,1.0,0.02956617514920823,8.0,3.0239161040057936
2.9631096290120884,4.633514894334339,1.0,0.020693880527268615,10.0,3.0529365873539582
3.000625260525219,5.64311319916763,1.0,0.025622818200957465,10.0,3.0354379562422587
3.046060858691121,5.165070515352106,1.0,0.026443517136328643,4.0,2.534886224677207
2.983951646519383,4.585343840093623,1.0,0.023428820755648117,9.0,3.1505718957031856
2.904960400166736,4.560387780841197,1.0,0.04063692475466896,4.0,2.5857637407070992
3.209462275948312,7.821029709274468,1.0,0.0206727823913071,8.0,3.0551337491169956
3.090871196331805,6.850976997389327,1.0,0.02990040051780629,12.0,3.1157896796051965
3.1192163401417257,5.22801891687611,1.0,0.010259345500652661,8.0,3.013044591406184
3.245102125885786,6.505709165857384,1.0,0.0176177154052215,7.0,2.6886096208499106
3.016673614005836,4.973306530589373,1.0,0.023028806982128502,8.0,3.0803751443542757
3.077949145477282,5.7916234918942635,1.0,0.018748756649052956,8.0,2.98534232004552
2.9674864526886204,5.27487315132128,1.0,0.01866060606889941,10.0,2.9326517480499086
3.196957065443935,6.456202455027195,1.0,0.031426287347010806,8.0,2.9395581854435178
2.9560233430596083,4.762332248626502,1.0,0.024647697201533342,8.0,3.1035943255107536
3.0583576490204254,5.466363471981203,1.0,0.014188856568278063,8.0,2.9695238444234375
2.987077949145477,5.286324520376383,1.0,0.015266731593743699,8.0,3.057083829770365
3.157982492705294,5.310222967039785,1.0,0.020828542806610284,8.0,2.977501856025823
3.0939974989578993,10.296466238087403,1.0,0.028638466096484017,8.0,3.0405432256639906
2.9822842851187996,6.014008486448973,1.0,0.03137863067308577,8.0,3.1961190109947175
3.0483534806169237,5.977531607345867,1.0,0.01736868181431983,10.0,3.1481132290936684
3.2657357232180075,14.08782808515631,1.0,0.017358899114642723,8.0,3.0394013922375755
3.050437682367653,4.772563706784891,1.0,0.021544495365093397,9.0,3.0430296470079847
3.1554814506044186,6.209789546391481,1.0,0.021337093992649714,8.0,2.85783325804665
3.3557732388495207,15.243321028905196,1.0,0.027470968159504117,8.0,2.9972348587760598
3.112755314714464,5.7114147381100056,1.0,0.028842861014989618,4.0,2.522446007082425
3.0735723218007505,4.853137620394179,1.0,0.01831152405431513,8.0,2.984762189351044
3.0064610254272615,5.3147454616624605,1.0,0.024546868928464027,8.0,3.1131909022044217
3.0992080033347227,4.970626034447299,1.0,0.026624397208198314,16.0,3.337227849574183
3.0250104210087536,6.380968321614051,1.0,0.011513118308603493,8.0,3.0933703218492052
3.115047936640267,7.14388671892911,1.0,0.030351678422393502,8.0,2.9862812242237
3.1638182576073364,6.812581213202367,1.0,0.02535925488827495,12.0,2.8922652080870375
3.228011671529804,7.664774033869259,1.0,0.02665049684039733,8.0,2.8817166030948194
3.1838265944143394,6.949707155143467,1.0,0.017916913434779635,8.0,2.975141610425471
2.9812421842434347,5.731928518644263,1.0,0.02775187665541745,10.0,3.205999239658725
3.0554397665694037,5.405199761013415,1.0,0.02118565933048322,8.0,2.984337232473227
3.05231346394331,5.647817886403603,1.0,0.03338777351804045,4.0,2.5913263470065284
3.390579408086703,16.90521139159482,1.0,0.024115128727045132,8.0,2.9948779672574943
3.2617757398916214,14.595884760885244,1.0,0.024567964111822382,8.0,2.9858906340772426
3.0368903709879116,6.580702243561156,1.0,0.02482133477827625,8.0,2.948814120115665
3.1596498541058775,7.566320751516559,1.0,0.03188079967254713,18.0,2.7852728263199555
3.01625677365569,5.559086759210239,1.0,0.021775813928264998,8.0,3.094101670320217
3.08274280950396,5.586489819974246,1.0,0.020110164628869276,8.0,2.9338789262289335
3.1240100041684036,5.531772151508656,1.0,0.028826818921849684,12.0,3.0154654325126775
3.046060858691121,4.826001647629639,1.0,0.020992249889018932,15.0,3.1777566987700143
3.0008336807002918,4.654642128473411,1.0,0.024225554934550753,11.0,3.1642612553369407
2.9824927052938723,7.830671110651627,1.0,0.02159600286624086,9.0,3.2406629445374926
3.077532305127136,4.92772181276121,1.0,0.025884673750896647,4.0,2.538355180615786
2.9583159649854105,5.2192780655000375,1.0,0.01764278652526763,8.0,3.075502083962584
3.0662776156731972,5.902058120872262,1.0,0.013567276296492459,8.0,3.030531285822028
3.1948728636932056,8.630224932338239,1.0,0.026492980880125194,8.0,2.944258846863363
3.0587744893705713,5.60476457217831,1.0,0.0315105151381051,4.0,2.5693002493684958
3.012088370154231,4.774910523060823,1.0,0.02386570224748613,18.0,3.546375696901419
